città;lat;lon
Atalanta;45.70940633;9.680802485
Bari;41.08496836;16.8401352
Benevento;41.11675973;14.78164863
Bologna;44.49312662;11.31011646
Brescia;45.57081365;10.23717189
Cagliari;39.2003718;9.13646992
Carpi;44.77616658;10.88186425
Catania;37.51594737;15.07157789
Cesena;44.14052044;12.2617318
Chievo;45.43543929;10.96910027
Crotone;39.07962042;17.11686151
Empoli;43.72669918;10.95412211
Fiorentina;43.78151381;11.28235862
Frosinone;41.63507963;13.32150629
Genoa;44.41667282;8.952497542
Inter;45.47824773;9.12386544
Juventus;45.10978282;7.641253829
Lazio;41.93422465;12.45475719
Lecce;40.36546208;18.2091026
Livorno;43.52677891;10.31363416
Milan;45.47824773;9.12386544
Napoli;40.82815276;14.1931468
Novara;45.43591733;8.596645159
Palermo;38.15392344;13.34177975
Parma;44.7950907;10.33847606
Pescara;42.45559964;14.22928588
Roma;41.93422465;12.45475719
Sampdoria;44.41667282;8.952497542
Sassuolo;44.71472224;10.64990198
Siena;43.32192757;11.32622774
Spal;44.84034457;11.60822349
Torino;45.04193322;7.650202404
Udinese;46.08168551;13.20007322
Verona;45.43543929;10.96910027
