Date;HomeTeam;AwayTeam;FTHG;FTAG;G_sum;lat;lon;tavg;indexes;HT_wins
2009,08,22;Bologna;Fiorentina;1;1;2;44.49312662;11.31011646;28.5;1;(
2009,08,22;Siena;Milan;1;2;3;43.32192757;11.32622774;#N/A;2;
2009,08,23;Catania;Sampdoria;1;2;3;37.51594737;15.07157789;27.1;3;
2009,08,23;Genoa;Roma;3;2;5;44.41667282;8.95249754;#N/A;4;
2009,08,23;Inter;Bari;1;1;2;45.47824773;9.12386544;#N/A;5;
2009,08,23;Juventus;Chievo;1;0;1;45.10978282;7.64125383;24.7;6;
2009,08,23;Lazio;Atalanta;1;0;1;41.93422465;12.45475719;27.7;7;
2009,08,23;Livorno;Cagliari;0;0;0;43.52677891;10.31363416;28.2;8;
2009,08,23;Palermo;Napoli;2;1;3;38.15392344;13.34177975;27.1;9;
2009,08,23;Udinese;Parma;2;2;4;46.08168551;13.20007322;#N/A;10;
2009,08,29;Bari;Bologna;0;0;0;41.08496836;16.8401352;26.9;11;
2009,08,29;Milan;Inter;0;4;4;45.47824773;9.12386544;26.9;12;
2009,08,30;Atalanta;Genoa;0;1;1;45.70940633;9.68080248;#N/A;13;
2009,08,30;Cagliari;Siena;1;3;4;39.2003718;9.13646992;24.9;14;
2009,08,30;Chievo;Lazio;1;2;3;45.43543929;10.96910027;22.2;15;
2009,08,30;Fiorentina;Palermo;1;0;1;43.78151381;11.28235862;#N/A;16;
2009,08,30;Napoli;Livorno;3;1;4;40.82815276;14.1931468;26.3;17;
2009,08,30;Parma;Catania;2;1;3;44.7950907;10.33847606;#N/A;18;
2009,08,30;Roma;Juventus;1;3;4;41.93422465;12.45475719;26;19;
2009,08,30;Sampdoria;Udinese;3;1;4;44.41667282;8.95249754;24.4;20;
2009,09,12;Lazio;Juventus;0;2;2;41.93422465;12.45475719;22.1;21;
2009,09,12;Livorno;Milan;0;0;0;43.52677891;10.31363416;20.7;22;
2009,09,13;Atalanta;Sampdoria;0;1;1;45.70940633;9.68080248;#N/A;23;
2009,09,13;Bologna;Chievo;0;2;2;44.49312662;11.31011646;21;24;
2009,09,13;Fiorentina;Cagliari;1;0;1;43.78151381;11.28235862;#N/A;25;
2009,09,13;Genoa;Napoli;4;1;5;44.41667282;8.95249754;#N/A;26;
2009,09,13;Inter;Parma;2;0;2;45.47824773;9.12386544;21.5;27;
2009,09,13;Palermo;Bari;1;1;2;38.15392344;13.34177975;24.1;28;
2009,09,13;Siena;Roma;1;2;3;43.32192757;11.32622774;#N/A;29;
2009,09,13;Udinese;Catania;4;2;6;46.08168551;13.20007322;#N/A;30;
2009,09,19;Juventus;Livorno;2;0;2;45.10978282;7.64125383;14.6;31;
2009,09,19;Napoli;Udinese;0;0;0;40.82815276;14.1931468;22.1;32;
